trial,target,scale,infeasible,true_relative_residual,ejar_residual_score,static_residual_score,action_norm_score,condition_score,clipped
102,snake_6link,0.35,0,0.0018950897157160567,5.0022515378691705e-05,0.029859814566876135,0.14860180460158037,2.3255457765646512,0
103,heavy_3link,0.7,0,0.0016129231712335302,9.057653961189576e-05,0.024621600040499007,0.27671863345513753,1.7586490662385912,0
104,teacher_2link,1.0,0,0.03138121042467685,0.0026390254917981093,0.07157352044258791,0.40341500282369885,579.6918186678109,0
105,long_4link,1.35,1,0.04650953508682829,0.0028035705550742964,0.03433530226347903,0.6499260688909801,4.7754511705741605,1
106,long_2link,1.75,1,0.3180439438945475,0.04209659917052632,0.11014588511292261,0.8577305267961322,3.4375523434888318,1
107,needle_5link,2.25,1,0.4010056417127773,0.044395882591964926,0.04584709779387465,0.5718678764022053,5.026466625907888,1
108,asym_3link,0.35,0,0.01972133565333633,0.0006677167633926078,0.0006784420750642672,0.14462616463930558,369.13787370144087,0
109,large_6link,0.7,0,0.004348366487650773,0.0002918839050771394,0.016436236934002202,0.24639636618227329,8.014900979128216,0
110,redundant_4link,1.0,0,0.006249839769344347,0.00042551361765856777,0.019590819699786228,0.49409216021728125,6.454642778886959,0
111,short_2link,1.35,1,0.2382665405547179,0.013756342540721814,0.01730411748477085,0.6025579799824299,7.947331388280416,1
112,soft_5link,1.75,1,0.1668098577034592,0.015223884420287277,0.12795560936808473,0.6786416585005695,3.3248887331545465,1
113,wide_2link,2.25,1,0.4237450309301567,0.06926394774693145,0.06520125495458172,0.5600768644447388,217.09261488887947,1
114,snake_6link,0.35,0,0.004013289352322294,8.2079705938728e-05,0.0196911487223396,0.15534354511219942,2.961982090283711,0
115,heavy_3link,0.7,0,0.005425377317284087,0.0002584341611616166,0.013117810064512028,0.4201408526070357,5.039613342472352,0
116,teacher_2link,1.0,0,0.0025232307904309646,0.0002232189870884358,0.04258598620325494,0.7299014577852766,3.702466042086237,0
117,long_4link,1.35,1,0.036034563047469235,0.006802110391733264,0.008595259304815939,0.5380137748034952,141.43595670870494,1
118,long_2link,1.75,1,0.291167249958999,0.021234344864143804,0.03765768040370337,0.8620475490927806,6.2219202860709,1
119,needle_5link,2.25,1,0.33376321465814457,0.032342312631890156,0.10004868194820354,0.6282795935055581,1.7825159729336,1
120,asym_3link,0.35,0,0.06753377204600089,0.000654986127523333,0.0017755740707269742,0.19232149176337013,29.245466917250692,0
121,large_6link,0.7,0,0.004940198406547537,0.0001648598819298725,0.04606607448557695,0.2749566633942915,2.810864342418907,0
122,redundant_4link,1.0,0,0.0007692021097667103,8.7793721011318e-05,0.19211598731351837,0.4848092417201697,2.750320337564511,0
123,short_2link,1.35,0,0.062130055063055904,0.002689445483072484,0.010968112945670192,0.7214564559391753,29.68570150948439,0
124,soft_5link,1.75,1,0.2020248446933082,0.036656933036487184,0.09862766246466562,0.6715539403517244,2.765460106832199,1
125,wide_2link,2.25,1,0.5442642919382397,0.08749657957823198,0.13956450980956167,0.46640706777889995,8.842957773395604,1
126,snake_6link,0.35,0,0.020922109800844472,0.0007412046491156104,0.0010093175651860976,0.11872285697036813,85.24417104969807,0
127,heavy_3link,0.7,0,0.0018018029900892674,0.00011815410033995625,0.08474922763960024,0.3664600773461622,3.4825297839822773,0
128,teacher_2link,1.0,0,0.0005102499692196729,7.149318641921661e-05,0.06551470086865911,0.740618151063057,5.8531183346205875,0
129,long_4link,1.35,1,0.015407095411912023,0.001669584239568989,0.10095420765970901,0.6784464574426327,6.183146240829765,1
130,long_2link,1.75,1,0.4256985164866687,0.09511550001396804,0.10905507194201741,0.7387087728269077,8.135562359332834,1
131,needle_5link,2.25,1,0.36148945790711456,0.07059237667734412,0.06925904875030925,0.45429251732392745,5.689522496409278,1
132,asym_3link,0.35,0,0.013647212108316781,0.00020692934303957085,0.0052165295942082765,0.2083319058207828,7.2364867267782556,0
133,large_6link,0.7,0,0.006758988786100593,0.00023019148616565331,0.022341223824470652,0.2741647051095567,3.9987332634518262,0
134,redundant_4link,1.0,0,0.0011614347172415407,0.00012839843476040915,0.19011132369584968,0.48463178605924545,3.608166607952079,0
135,short_2link,1.35,0,0.1242113238047265,0.004114019141613647,0.0042047724154885896,0.28593655903294735,230.62105918159628,0
136,soft_5link,1.75,1,0.27040857649341143,0.05161851246146685,0.06320043448242389,0.6053218695120818,4.551263938438676,1
137,wide_2link,2.25,1,0.4074595397833935,0.05723888626437967,0.06881254050303239,0.9080805890750355,1.9177390385756012,1
138,snake_6link,0.35,0,0.0009109616072279815,3.374201605522181e-05,0.06064281328641558,0.1557984265472197,3.4715463409670813,0
139,heavy_3link,0.7,0,0.01389229941264332,0.00038014910316678375,0.01170364729733033,0.3048906100150154,6.801982789065292,0
140,teacher_2link,1.0,0,0.0066564097977773705,0.0008367082122479,0.023017136208864825,0.7198437041307865,25.262814115515,0
141,long_4link,1.35,1,0.2684518757226238,0.005736117852264212,0.027700604370395954,0.6058498949675228,8.319391312945012,1
142,long_2link,1.75,1,0.3888350304516178,0.06412968557528081,0.048291910112509606,0.7797052224361427,3.769363563045657,1
143,needle_5link,2.25,1,0.5108722185884343,0.05503752459597937,0.05991558581841049,0.30831340042367644,2.068322762169819,1
144,asym_3link,0.35,0,0.010025730025180453,0.0003975553120820109,0.0004103291911935383,0.16809570299783522,229.61897962433113,0
145,large_6link,0.7,0,0.0035025980561766007,0.00013547595262003564,0.034357098606173274,0.27380772725963975,1.7927770592875079,0
146,redundant_4link,1.0,0,0.001987255674038947,0.00014103919268962996,0.07632184280635135,0.48699583599544627,1.4512780113509198,0
147,short_2link,1.35,1,0.2575284888449727,0.01138600042598005,0.02544380044814233,0.5932482062350114,4.591927802026106,1
148,soft_5link,1.75,1,0.21119789471277112,0.009679343424592089,0.036395394824281946,0.5980713067560998,6.7939446082547095,1
149,wide_2link,2.25,1,0.555045250702843,0.08653115967373648,0.13531167017052242,0.4496901072214422,2.671159498006586,1
150,snake_6link,0.35,0,0.003872928887026188,8.819347446175908e-05,0.012881079970238608,0.1514886190949331,2.9988817321904744,0
151,heavy_3link,0.7,0,0.005284722917151173,0.0002749599345786594,0.01203948948039253,0.4141807021916523,5.793529215198592,0
152,teacher_2link,1.0,0,0.01090640822163409,0.0004657491001192891,0.02056035328139632,0.6549729353896141,7.019820101247229,0
153,long_4link,1.35,1,0.035721314742434764,0.006705984061698919,0.007635665748338829,0.5464072313175031,99.32307551295568,1
154,long_2link,1.75,1,0.41773801089616214,0.08378293029972747,0.29124470946272435,0.7491037327387114,3.265108146898974,1
155,needle_5link,2.25,1,0.34783260598153387,0.03985598667114039,0.06230293317771492,0.4393768319376544,1.582430318848366,1
156,asym_3link,0.35,0,0.003560556772522771,9.404101476178617e-05,0.0073229638257464105,0.19347747308615637,3.860672085447175,0
157,large_6link,0.7,0,0.006235242970135002,0.00019367871634373693,0.027242460779746104,0.2669386596853207,3.314160160997843,0
158,redundant_4link,1.0,0,0.001009456557458437,0.00012388145646921082,0.02368001150509543,0.48252928877475276,5.027630736970287,0
159,short_2link,1.35,1,0.25889316065762535,0.030601445760408,0.05093774921434667,0.8050559789580908,4.932353992741112,1
160,soft_5link,1.75,1,0.17242535936903194,0.016508815768483488,0.1270256540192951,0.6661895429827983,1.3633498708442493,1
161,wide_2link,2.25,1,0.5347467909346424,0.0658564435316206,0.05046437390846152,0.9044909941094175,3.49048037006276,1
162,snake_6link,0.35,1,0.7653363702495324,0.0010038477397108798,0.0012243039665911198,0.05822929045314362,110.38996641791074,0
163,heavy_3link,0.7,0,0.004825239219081757,0.00018397270568917633,0.02367757956133269,0.4386483353392915,2.8292802256057485,0
164,teacher_2link,1.0,0,0.006859216566868416,0.00037579842827661496,0.04164103996425481,0.6569779755371403,5.628213575989362,0
165,long_4link,1.35,1,0.1665016652412507,0.0034329151025920667,0.02181898861283669,0.47690220787628496,10.00184427248068,1
166,long_2link,1.75,1,0.4243224362017081,0.09401682559572772,0.11532442493286395,0.7417426087780048,4.806540685001263,1
167,needle_5link,2.25,1,0.41594487051243517,0.05621144419081972,0.06846504352004565,0.4775008801243146,3.8079650054692897,1
168,asym_3link,0.35,0,0.005723618664812597,0.0001202369211279902,0.012108581999488876,0.17133055986258539,4.397767013342568,0
169,large_6link,0.7,0,0.0020705224516888113,0.00017191483491399285,0.022956447305771,0.26372113575741085,6.754593367441429,0
