episode,target,method,horizon,final_tracking_error,mean_tracking_error,success_5cm_equiv,success_10cm_equiv,clipped_steps,residual_sum
76,long_2link,ejar_absolute,18,0.024296470829076267,0.012426832599765021,1,1,2,0.021139870275087454
77,asymmetric_3link,raw_copy,18,0.09801158277292964,0.07298863030977276,0,1,0,nan
77,asymmetric_3link,ejar_absolute,18,0.0055886873368604555,0.00354108933172247,1,1,0,0.0020642967200076657
78,short_2link,raw_copy,18,0.132368383610873,0.14878922259577582,0,0,0,nan
78,short_2link,ejar_absolute,18,0.0832670230130083,0.0657654607908015,0,1,11,0.39221929360813557
79,long_2link,raw_copy,18,0.0887641248785902,0.13061711691772424,0,1,0,nan
79,long_2link,ejar_absolute,18,0.044524904758407174,0.06421419619827773,1,1,10,0.28067260332486793
80,asymmetric_3link,raw_copy,18,0.10022208990868474,0.10601429878065116,0,0,0,nan
80,asymmetric_3link,ejar_absolute,18,0.04154664009155936,0.04809897468586206,1,1,7,0.1419571164044212
81,short_2link,raw_copy,18,0.10961315209973684,0.13080041961731997,0,0,0,nan
81,short_2link,ejar_absolute,18,0.05829285021059382,0.05430832551220119,0,1,9,0.17271180983943135
82,long_2link,raw_copy,18,0.1648703261369908,0.055939345006764514,0,0,0,nan
82,long_2link,ejar_absolute,18,0.024639130402050773,0.012572691374953739,1,1,0,0.0018741422583993068
83,asymmetric_3link,raw_copy,18,0.1860149694819322,0.12844252172517523,0,0,0,nan
83,asymmetric_3link,ejar_absolute,18,0.037389881830633145,0.011738967475343701,1,1,3,0.043161290026049834
84,short_2link,raw_copy,18,0.017926510959046175,0.026597263343417908,1,1,0,nan
84,short_2link,ejar_absolute,18,0.024049039286964894,0.014151278106573196,1,1,1,0.007020776360463223
85,long_2link,raw_copy,18,0.21340976234332246,0.2114700205759931,0,0,0,nan
85,long_2link,ejar_absolute,18,0.07002275952109269,0.036108918233764296,0,1,9,0.2547501365410982
86,asymmetric_3link,raw_copy,18,0.1489376204603457,0.10444710709012162,0,0,0,nan
86,asymmetric_3link,ejar_absolute,18,0.007139236314490784,0.008948411307011149,1,1,4,0.10239623977359956
87,short_2link,raw_copy,18,0.03946504367030631,0.0313868595045347,1,1,0,nan
87,short_2link,ejar_absolute,18,0.10731631461844594,0.06170129333625329,0,0,13,0.4524974278686245
88,long_2link,raw_copy,18,0.24473655780378537,0.16294613178762873,0,0,0,nan
88,long_2link,ejar_absolute,18,0.02048082045782044,0.011220663710464655,1,1,1,0.011918472870805531
89,asymmetric_3link,raw_copy,18,0.08791877914000458,0.048380337797958486,0,1,0,nan
89,asymmetric_3link,ejar_absolute,18,0.06905366148681852,0.03498517890351132,0,1,8,0.2064779932798787
90,short_2link,raw_copy,18,0.11156364719854614,0.08787552540851856,0,0,0,nan
90,short_2link,ejar_absolute,18,0.050529017952892406,0.035588313575825516,0,1,11,0.2775800423828831
91,long_2link,raw_copy,18,0.028005359451769116,0.02413534681447341,1,1,0,nan
91,long_2link,ejar_absolute,18,0.00911892285660122,0.0049556264085288595,1,1,0,0.0030465868182568455
92,asymmetric_3link,raw_copy,18,0.06600513514514816,0.23152698133110894,0,1,0,nan
92,asymmetric_3link,ejar_absolute,18,0.027414473051648198,0.05052476094066941,1,1,8,0.2131770931932687
93,short_2link,raw_copy,18,0.06811237737000685,0.09838660137254193,0,1,0,nan
93,short_2link,ejar_absolute,18,0.038839814420147396,0.028683762867583742,1,1,3,0.05294575875240148
94,long_2link,raw_copy,18,0.1406419312088048,0.18996866625620215,0,0,0,nan
94,long_2link,ejar_absolute,18,0.0327967618717549,0.02690386809825156,1,1,8,0.08117674153844653
95,asymmetric_3link,raw_copy,18,0.1435700430647627,0.07875374398962001,0,0,0,nan
95,asymmetric_3link,ejar_absolute,18,0.012278904460361735,0.010838198749181455,1,1,5,0.038237471175682845
96,short_2link,raw_copy,18,0.07910664851851973,0.1688216113527233,0,1,0,nan
96,short_2link,ejar_absolute,18,0.013130632909647362,0.11363141356825437,1,1,10,0.36131601283282383
97,long_2link,raw_copy,18,0.2712342580607683,0.1501222669695996,0,0,0,nan
97,long_2link,ejar_absolute,18,0.03756469762218137,0.025143911922144817,1,1,3,0.08278074777249148
98,asymmetric_3link,raw_copy,18,0.28479324794664246,0.1544378835770746,0,0,0,nan
98,asymmetric_3link,ejar_absolute,18,0.006470994178114901,0.0033731200306068554,1,1,0,0.0032648154440431897
99,short_2link,raw_copy,18,0.2371879313459386,0.0912862088559057,0,0,0,nan
99,short_2link,ejar_absolute,18,0.13961752568746008,0.06060832055805955,0,0,12,0.4217174432160057
100,long_2link,raw_copy,18,0.057672171296448825,0.04226158555848673,0,1,0,nan
100,long_2link,ejar_absolute,18,0.06776296489076701,0.06314473372990902,0,1,6,0.28666263277058196
101,asymmetric_3link,raw_copy,18,0.005694491800489663,0.04780213304542649,1,1,0,nan
101,asymmetric_3link,ejar_absolute,18,0.006781235183677629,0.0034540974564087404,1,1,0,0.0016923293878594815
102,short_2link,raw_copy,18,0.3998043909489343,0.3847480118447846,0,0,0,nan
102,short_2link,ejar_absolute,18,0.2590417388019076,0.2440779965228648,0,0,16,0.6732889609241388
103,long_2link,raw_copy,18,0.34257033299765655,0.2609650437293045,0,0,0,nan
103,long_2link,ejar_absolute,18,0.005831759130934959,0.0021892232430841124,1,1,0,0.0019153836058780338
104,asymmetric_3link,raw_copy,18,0.3118882097760756,0.28918375787122075,0,0,0,nan
104,asymmetric_3link,ejar_absolute,18,0.12372193182417221,0.09704292112885295,0,0,10,0.33803018941325935
105,short_2link,raw_copy,18,0.03706742111279298,0.029423839332805585,1,1,0,nan
105,short_2link,ejar_absolute,18,0.022931537431352587,0.01067192406824407,1,1,2,0.010600373302150273
106,long_2link,raw_copy,18,0.058711456481248384,0.08819523436712914,0,1,0,nan
106,long_2link,ejar_absolute,18,0.009012531659443549,0.005055710181528258,1,1,1,0.013270908908294335
107,asymmetric_3link,raw_copy,18,0.2047225854374821,0.21485823148298921,0,0,0,nan
